2017-06-02 11:56:54,190 [Worker-156] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: spring-dependency-injection:spring-dependency-injection:0.0.1-SNAPSHOT @ /Users/shobhikapanda/Documents/DesignPatterns/spring-dependency-injection/pom.xml.
2017-06-02 12:03:56,978 [Worker-173] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:03:56,979 [Worker-173] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:03:56,980 [Worker-173] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:04:53,439 [Worker-172] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:04:53,452 [Worker-172] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:04:53,453 [Worker-172] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:04:53,454 [Worker-172] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:06:05,688 [Worker-173] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:06:05,696 [Worker-173] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:06:05,699 [Worker-173] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:06:05,700 [Worker-173] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:06:08,727 [Worker-167] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:06:08,728 [Worker-167] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:06:08,729 [Worker-167] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:06:08,730 [Worker-167] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-02 12:06:18,861 [Worker-167] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-02 12:06:18,868 [Worker-167] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
